model,情绪(vs中性),系数,标准误,p值,显著性,CI下,CI上
M1_主模型_log赞同,积极,-0.6599,0.1123,0.0,***,-0.88,-0.4398
M1_主模型_log赞同,焦虑,-0.6433,0.1178,0.0,***,-0.8742,-0.4124
M1_主模型_log赞同,解构,-0.472,0.1356,0.0005,***,-0.7377,-0.2063
M2_稳健_log综合互动,积极,-0.6639,0.1114,0.0,***,-0.8823,-0.4455
M2_稳健_log综合互动,焦虑,-0.684,0.1176,0.0,***,-0.9144,-0.4535
M2_稳健_log综合互动,解构,-0.5085,0.1334,0.0001,***,-0.7701,-0.247
M3_稳健_议题季度交互,积极,-0.628,0.1142,0.0,***,-0.8519,-0.4041
M3_稳健_议题季度交互,焦虑,-0.6396,0.1187,0.0,***,-0.8722,-0.407
M3_稳健_议题季度交互,解构,-0.5481,0.1369,0.0001,***,-0.8163,-0.2798
M4_稳健_高赞子样本,积极,-0.2206,0.1116,0.0481,**,-0.4394,-0.0018
M4_稳健_高赞子样本,焦虑,-0.092,0.1182,0.4363,,-0.3236,0.1396
M4_稳健_高赞子样本,解构,-0.07,0.1269,0.5809,,-0.3187,0.1786
